evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
1.000000000000000000e+00,9.229905237299194931e-02,1.071510549076261538e-02,1.776724603769431077e-03,2.622030687384627103e-03,3.687261687707423796e-01,5.357552745381307692e-03,5.330173811308293666e-03,7.866092062153880876e-03,7.374523375414847315e-02,1.070489000412635505e-01,2.408459997968748212e-02,4.667709994828328490e-02,9.360001422464847565e-05,3.617239999584853649e-02,2.000000000000000000e+00,1.428571428571428492e-01,5.000000000000000000e+01,5.000000000000000000e+00,4.249999999999999889e-01,1.492999999999999972e+01,1.578999999999999915e+01,2.990000000000000213e+00,1.989999999999999991e+00,1.899999999999999911e+00,1.898000000000000043e+01,3.080000000000000071e+00,2.779999999999999805e+00,3.660000000000000142e+00,3.319999999999999840e+00,3.250000000000000000e+00,1.529999999999999971e-01,2.900000000000000147e-02
2.000000000000000000e+00,3.817868619998111140e-02,4.881794037246572210e-03,9.665358157502700965e-04,1.445929414793137432e-03,1.425019674486380228e-01,2.440897018623286105e-03,2.899607447250810398e-03,4.337788244379412080e-03,2.850039348972760456e-02,1.171070000273175538e-01,3.115940000861883163e-02,4.999540001153945923e-02,1.209999900311231613e-04,3.581130004022270441e-02,1.119848204645484735e+01,3.139208476991696695e-01,6.200186238820511164e+01,1.482378216947012284e+01,6.089615362342132299e-01,1.438974121065014344e+01,1.818134610352833391e+01,1.417656605363297295e+00,5.520420608448945998e-01,1.986176177933577947e+01,1.564146126540591197e+01,4.312760904656794736e+00,2.360202500852045748e+00,4.689632640659270990e+00,3.879977822414300004e+00,3.293439976474846542e+00,2.763326881340453789e-01,-4.251330426062921441e-02
3.000000000000000000e+00,5.925853526935714183e-02,3.948762724377951477e-03,1.226402190747159521e-03,1.912114741953354355e-03,2.393430155453331321e-01,1.974381362188975739e-03,3.679206572241478564e-03,5.736344225860063283e-03,4.786860310906662641e-02,1.207565999939106405e-01,2.508390002185478806e-02,6.552090001059696078e-02,7.479998748749494553e-05,3.006289998302236199e-02,7.113562498128257694e+00,9.333251891921794385e-01,4.647241976630145643e+01,1.313722188316175021e+01,7.618856992280033102e-01,1.438403000229778250e+01,1.776106824051874611e+01,1.631948703043345716e+00,1.893801577363634969e+00,2.271354263460600542e+00,1.772644218761487878e+01,4.569486782909072176e+00,2.731300380566740849e+00,4.472498044051272714e+00,4.017554522782638138e+00,2.849374815915658665e+00,-6.189738319726140192e-02,1.268298037528597932e-02
4.000000000000000000e+00,2.470591449596276357e-01,3.495989718356621711e-03,1.071506685659750612e-03,1.613630636390089943e-03,1.186278690671499048e+00,1.747994859178310855e-03,3.214520056979251836e-03,4.840891909170270263e-03,2.372557381342998151e-01,1.044898999971337616e-01,2.193470002384856343e-02,4.844109999248757958e-02,1.078000059351325035e-04,3.398830007063224912e-02,1.411359524268989496e+01,4.446605459910042413e-01,4.637558099077531182e+01,6.910401419032485393e+00,4.841895148969495022e-01,1.321591034785633845e+01,1.610766419611074696e+01,1.355965656392918328e+00,2.415811250410919153e-01,2.404449555073930433e+00,3.017221077854323141e+00,3.541511199606094173e+00,4.421949560399578871e+00,3.541476632238179878e+00,3.087962794963374780e+00,4.423787813700393201e+00,1.149455746588123883e-02,1.102345960435822114e-01
5.000000000000000000e+00,2.099314982952052988e-01,5.705894482241555266e-03,1.690227527076414290e-03,2.164729972544771931e-03,9.775683927761048553e-01,2.852947241120777633e-03,5.070682581229242654e-03,6.494189917634315794e-03,1.955136785552209766e-01,1.123137000249698758e-01,2.662760001840069890e-02,4.825170000549405813e-02,7.509998977184295654e-05,3.734350000740960240e-02,1.482521300612449444e+01,6.984452895841072317e-01,4.523576482346284422e+01,2.699219594284829782e+01,2.273902532016489064e-01,1.446094158360774529e+01,1.756392352607681318e+01,2.739442484850873605e+00,1.058825681383578798e+00,2.459292083294778308e+01,6.340867887045098072e+00,3.358217746667652381e+00,3.646829665432812284e+00,2.168848995878858599e+00,2.019621547868438949e+00,2.985132497446504996e+00,1.202599445546978507e-01,-5.195010064797869753e-02
6.000000000000000000e+00,1.637208508714051436e-01,6.303826832020801435e-03,1.750035389525140487e-03,2.231421112589176622e-03,7.431228397452589451e-01,3.151913416010400718e-03,5.250106168575421894e-03,6.694263337767529867e-03,1.486245679490517946e-01,1.222571999533101916e-01,2.412449999246746302e-02,6.449319998500868678e-02,1.124000409618020058e-04,3.350809996481984854e-02,1.199243656517734813e+01,5.415664798436817806e-01,4.817216056889969877e+01,1.445845691599508775e+01,9.085346773535586673e-02,1.615706516991744834e+01,1.525888262379428184e+01,1.728808076850010922e+00,2.927739132172088699e+00,1.924887703877787359e+01,7.447636698385797338e+00,2.086040885296197800e+00,4.991796611398190642e+00,2.889835709150331056e+00,4.011874298516993953e+00,4.625167908093692049e+00,2.119192837776682770e-01,-1.356361537543376572e-01
7.000000000000000000e+00,2.155433561830938927e-01,3.468630168020647633e-03,1.102592905857163698e-03,1.673325535858623562e-03,1.027406428869680921e+00,1.734315084010323816e-03,3.307778717571490876e-03,5.019976607575870470e-03,2.054812857739362064e-01,1.137256999500095844e-01,2.944740001112222672e-02,4.850399994757026434e-02,8.210004307329654694e-05,3.567700000712648034e-02,1.282560673040713084e+01,1.515737112827199307e-01,5.203658194570468964e+01,2.449447108321246347e+01,7.621641177326931027e-01,1.588572698564909658e+01,1.521207684339941935e+01,4.715802047293338184e-01,3.652070358754054835e-01,1.560257867953474609e+01,9.685943403659180717e+00,2.420841756719468663e+00,3.332670629347508573e+00,4.125970480132930440e+00,3.007811726519760587e+00,2.633529877782598838e+00,-5.343922733686662374e-02,-7.928022290421071760e-02
8.000000000000000000e+00,4.157827983053923870e-01,3.595925056358115039e-03,8.730971770333307907e-04,1.387448517869468339e-03,2.036015993462524598e+00,1.797962528179057520e-03,2.619291531099992264e-03,4.162345553608405233e-03,4.072031986925049307e-01,9.978399996180087328e-02,2.209689997835084796e-02,4.502560000400990248e-02,1.094999606721103191e-04,3.253419999964535236e-02,1.131423776505197942e+01,8.214029579112248902e-02,5.947155646244671345e+01,1.378720279707617280e+01,4.352757832806624094e-01,1.363868816135588524e+01,1.342212973860454994e+01,2.040123482939855570e+00,1.251806173205247008e+00,3.454182557083633043e+01,1.719924531540864265e+01,4.185017542191730833e+00,4.826433321721865788e+00,2.415947522892706534e+00,3.618245023798164262e+00,2.251858834613456928e+00,3.482378446131739747e-02,1.808128033300888116e-01
9.000000000000000000e+00,2.603557077072977677e-01,3.390692834652102045e-03,9.683846249305619195e-04,1.518053148655753616e-03,1.256005239846063715e+00,1.695346417326051023e-03,2.905153874791685867e-03,4.554159445967260848e-03,2.512010479692127762e-01,1.015626000589691103e-01,2.557699999306350946e-02,3.919170005246996880e-02,9.080005111172795296e-05,3.668730001663789153e-02,9.871181908357421264e+00,1.460399638661257493e-01,4.972748376652406677e+01,8.331772187228066784e+00,8.094950467478740919e-01,1.325038438873380997e+01,1.471814345559522685e+01,7.694506412336381551e-01,1.464236588095126246e+00,1.879533391629153627e+01,1.847372241620693245e+01,3.807065246833531980e+00,2.081714414029386617e+00,2.368112320270909343e+00,3.532567358529652868e+00,4.101999883562385207e+00,-1.863075917196442832e-01,2.182908522155947995e-01
1.000000000000000000e+01,4.071962649116834254e-01,3.329486719488264097e-03,9.648667057737347983e-04,1.504291518151584621e-03,1.990620234400816591e+00,1.664743359744132048e-03,2.894600117321204612e-03,4.512874554454753863e-03,3.981240468801633403e-01,1.002669999725185335e-01,2.335840003797784448e-02,4.733329999726265669e-02,8.079997496679425240e-05,2.947810001205652952e-02,1.213919184194006640e+01,3.789925389995830729e-01,5.847600148836389167e+01,2.537722258491853111e+01,6.313442577152856838e-01,1.336132023814795922e+01,1.559257526155726836e+01,2.905636622305278305e+00,5.054563883158886828e-01,1.791909967504681589e+01,1.496133774948725303e+01,3.780184889852401753e+00,2.883572342538208932e+00,2.105507367379353845e+00,2.194946641732945292e+00,4.770232483473854757e+00,-8.012301798421272991e-02,-2.680063680671341819e-01
